node,in_degree,pagerank,betweenness,closeness,candidate,in_degree_n,pagerank_n,betweenness_n,closeness_n,composite
KamalaHarris.bsky.social,3,0.11745457511488974,0.0,0.1875,Neutral,1.0,1.0,0,1.0,0.7999999999999999
YVindman.bsky.social,1,0.05658570323988973,0.0,0.0625,Neutral,0.3333333333333333,0.48176670159114426,0,0.3333333333333333,0.31861834555690044
vademocrats.bsky.social,1,0.05658570323988973,0.0,0.0625,Neutral,0.3333333333333333,0.48176670159114426,0,0.3333333333333333,0.31861834555690044
Tim_Walz.bsky.social,1,0.05658570323988973,0.0,0.0625,Neutral,0.3333333333333333,0.48176670159114426,0,0.3333333333333333,0.31861834555690044
timkaine.bsky.social,1,0.05658570323988973,0.0,0.0625,Neutral,0.3333333333333333,0.48176670159114426,0,0.3333333333333333,0.31861834555690044
bradleywhitford.bsky.social,1,0.05658570323988973,0.0,0.0625,Neutral,0.3333333333333333,0.48176670159114426,0,0.3333333333333333,0.31861834555690044
arlingtondems.,1,0.05658570323988973,0.0,0.0625,Neutral,0.3333333333333333,0.48176670159114426,0,0.3333333333333333,0.31861834555690044
SpanbergerForVA.bsky.social,1,0.05658570323988973,0.0,0.0625,Neutral,0.3333333333333333,0.48176670159114426,0,0.3333333333333333,0.31861834555690044
ResisterSis20.bsky.social,1,0.05549875909926472,0.0,0.0625,Neutral,0.3333333333333333,0.47251253554812894,0,0.3333333333333333,0.3153793874418451
politvidchannel.bsky.social,1,0.05549875909926472,0.0,0.0625,Neutral,0.3333333333333333,0.47251253554812894,0,0.3333333333333333,0.3153793874418451
tristansnell.bsky.social,1,0.05549875909926472,0.0,0.0625,Neutral,0.3333333333333333,0.47251253554812894,0,0.3333333333333333,0.3153793874418451
melodyleelacy.bsky.social,1,0.05549875909926472,0.0,0.0625,Neutral,0.3333333333333333,0.47251253554812894,0,0.3333333333333333,0.3153793874418451
Victorshi2020.bsky.social,1,0.05549875909926472,0.0,0.0625,Neutral,0.3333333333333333,0.47251253554812894,0,0.3333333333333333,0.3153793874418451
RpsAgainstTrump.bsky.social,1,0.05549875909926472,0.0,0.0625,Neutral,0.3333333333333333,0.47251253554812894,0,0.3333333333333333,0.3153793874418451
popcornreel.bsky.social,0,0.05115098253676473,0.0,0.0,CandidateB,0.0,0.4354958713760679,0,0.0,0.15242355498162374
nickyv.bsky.social,0,0.05115098253676473,0.0,0.0,CandidateB,0.0,0.4354958713760679,0,0.0,0.15242355498162374
margareterosali.bsky.social,0,0.05115098253676473,0.0,0.0,CandidateB,0.0,0.4354958713760679,0,0.0,0.15242355498162374
