,account,candidate,influencer_score,in_deg,between,pagerank,community
1,nytimes,Neutral,0.7,1.0,0.0,1.0,2
2,guardian,Neutral,0.5727272727272726,1.0,0.0,0.6818181818181817,1
3,cnn,Neutral,0.43000000000000005,0.5,0.0,0.7000000000000002,2
4,msnbc,Neutral,0.43000000000000005,0.5,0.0,0.7000000000000002,2
5,thetimes,Neutral,0.30272727272727257,0.5,0.0,0.3818181818181814,0
6,mortenmorland,Neutral,0.30272727272727257,0.5,0.0,0.3818181818181814,0
7,phillydefranco,Neutral,0.2699999999999999,0.5,0.0,0.2999999999999998,1
8,time,Neutral,0.2699999999999999,0.5,0.0,0.2999999999999998,1
9,dailykos,Neutral,0.2699999999999999,0.5,0.0,0.2999999999999998,1
10,thewrap,Neutral,0.2699999999999999,0.5,0.0,0.2999999999999998,1
11,dailymirror,Neutral,0.2699999999999999,0.5,0.0,0.2999999999999998,1
12,briancartoon,Neutral,0.22636363636363618,0.5,0.0,0.19090909090909047,0
13,domesticanimal,Neutral,0.22636363636363618,0.5,0.0,0.19090909090909047,0
14,MartinRowson,Neutral,0.22636363636363618,0.5,0.0,0.19090909090909047,0
15,rodemmerson,Neutral,0.22636363636363618,0.5,0.0,0.19090909090909047,0
16,EBaronCartoons,Neutral,0.22636363636363618,0.5,0.0,0.19090909090909047,0
17,politicalcartoon,CandidateA,0.0,0.0,0.0,0.0,0
18,closethatnow,CandidateB,0.0,0.0,0.0,0.0,2
19,foxmental,Neutral,0.0,0.0,0.0,0.0,1
