"group","name","sex","relationship_status","friend_count","mutual_friend_count","NewLabel","color"
"F","SE","female","Married","73","37","SE",3
"G","PH","male","Married","53","3","PH",4
"G","PD","female","Married","363","3","PD",4
"G","LN","female","","64","4","LN",4
"F","MB","female","","19","10","MB",3
"C","AP","female","In a Relationship","99","1","AP",2
"C","SM","male","In a Relationship","432","1","SM",2
"W","CB","female","","22","3","CB",8
"W","TB2","male","","153","9","TB",8
"W","RBW","male","","63","6","RB",8
"W","NW","female","Married","298","12","NW",8
"F","AL","female","Single","834","26","AL",3
"M","DB","male","","143","3","DB",6
"M","CWB","female","","128","4","CW",6
"M","BS","male","","143","8","BS",6
"M","AC","female","","363","13","AC",6
"M","BW","female","","373","6","BW",6
"M","DZM","male","Married","79","3","DZ",6
"M","KW","male","","42","5","KW",6
"W","VST","female","","83","3","VST",8
"W","TM","male","","","12","TM",8
"F","CR","male","Single","604","6","CR",3
"F","AAE","male","Single","508","23","AE",3
"F","HRS","female","Married","307","6","HRS",3
"F","LRS","female","","67","7","LRS",3
"F","SL","female","","31","19","SL",3
"C","JJ","male","","236","2","JDJ",2
"C","TBC","male","Married","250","2","TB",2
"C","LE","female","","191","2","LE",2
"F","BCL","female","Married","405","19","BCRL",3
"F","SLL","female","Married","271","21","SL",3
"G","TNB","male","","80","1","TNB",4
"G","MGE","female","Single","176","3","MGE",4
"G","JLG","female","Married","97","4","JLG",4
"G","DGT","male","Married","62","2","DG",4
"W","DK","female","Married","63","6","DK",8
"W","WT","male","Married","110","6","WT",8
"W","DSW","male","Married","122","7","DS",8
"W","ME","male","Married","115","10","ME",8
"M","MWB","male","In a Relationship","1316","5","MWB",6
"M","BD","female","","224","5","BD",6
"M","LL","female","In a Relationship","461","4","LL",6
"M","BB","male","","95","6","BB",6
"M","LSM","female","Married","390","7","LS",6
"M","KM","female","","283","7","KM",6
"S","SP","male","Married","201","5","SP",7
"S","LCP","female","Married","199","5","LCP",7
"S","ADE","male","Married","217","5","ADE",7
"S","KH","male","","271","5","KH",7
"S","ECS","female","","304","5","EC",7
"S","KT","male","","322","5","KT",7
"H","GB","female","Married","502","4","GB",5
"H","RBH","female","","65","1","RB",5
"H","JU","male","","15","1","JU",5
"H","JZ","female","Married","97","2","JZ",5
"M","DSM","male","Married","","2","DS",6
"F","BL","male","Married","123","16","BL",3
"F","CG","female","","230","14","CG",3
"F","CSH","female","In a Relationship","231","11","CSH",3
"F","GGA","female","Married","282","17","GGA",3
"F","ADL","male","In a Relationship","491","16","AL",3
"F","DL","male","Married","141","18","DL",3
"F","LBF","female","","278","13","LB",3
"F","GL","male","In a Relationship","302","18","GL",3
"F","CS","female","","78","9","CS",3
"F","DSF","female","Married","100","14","DS",3
"F","ALL","male","","575","16","AL",3
"B","CW1","female","Married","196","6","CW",1
"B","DZB","male","","51","6","DZ",1
"B","PW","male","","60","6","PW",1
"B","ARL","female","","131","6","ARL",1
"B","LZ","female","","109","6","LZ",1
"M","MBM","female","","","4","MB",6
"W","RW","male","Married","199","8","RW",8
"W","ECW","female","Married","","2","EC",8
"W","JK","female","Married","135","12","JK",8
"W","ASS","female","Married","746","2","ASS",8
"W","SS1","female","","492","3","SS",8
"W","SMH","female","Married","130","9","SMH",8
"W","TB1","male","","171","9","TB",8
"W","DM","male","","303","4","DM",8
"W","LBW","female","","107","2","LB",8
"W","MD","male","","1188","5","MD",8
"G","TR","male","Married","171","3","TR",4
"G","DSG","female","Married","66","2","DS",4
"G","LRG","female","Married","113","3","LR",4
"W","SS2","female","","425","2","SS",8
"M","JLT","female","In a Relationship","700","5","JLT",6
"F","LSF","male","In a Relationship","553","15","LS",3
"F","TSL","female","Married","209","7","TSL",3
"C","LBC","female","","150","0","LB",2
"C","LLB","female","Married","175","0","LLB",2
"H","DW","female","Married","134","0","DW",5
